freq,psd_x,psd_y,psd_z,psd_xyz
150.7,7.451e+03,4.023e+03,8.373e+03,1.985e+04
152.3,6.977e+03,2.932e+03,4.247e+03,1.416e+04
153.8,7.139e+03,2.740e+03,3.430e+03,1.331e+04
155.3,7.413e+03,2.922e+03,3.127e+03,1.346e+04
156.8,7.397e+03,3.149e+03,2.872e+03,1.342e+04
158.3,7.541e+03,3.652e+03,2.644e+03,1.384e+04
159.9,9.694e+03,3.765e+03,2.309e+03,1.577e+04
161.4,1.156e+04,3.787e+03,1.923e+03,1.727e+04
162.9,1.183e+04,3.689e+03,1.541e+03,1.706e+04
164.4,1.225e+04,3.762e+03,1.414e+03,1.742e+04
166.0,1.179e+04,4.184e+03,1.462e+03,1.744e+04
167.5,1.146e+04,4.562e+03,1.580e+03,1.760e+04
169.0,1.047e+04,4.700e+03,1.724e+03,1.690e+04
170.5,1.110e+04,5.220e+03,1.825e+03,1.814e+04
172.0,1.133e+04,6.476e+03,1.960e+03,1.977e+04
173.6,1.123e+04,7.924e+03,2.388e+03,2.154e+04
175.1,1.201e+04,9.046e+03,3.139e+03,2.420e+04
176.6,1.237e+04,9.352e+03,3.486e+03,2.521e+04
178.1,1.261e+04,1.015e+04,4.290e+03,2.705e+04
179.7,1.596e+04,1.227e+04,5.943e+03,3.417e+04
181.2,1.649e+04,1.491e+04,7.420e+03,3.883e+04
182.7,1.311e+04,1.582e+04,7.615e+03,3.655e+04
184.2,1.336e+04,1.664e+04,8.221e+03,3.822e+04
185.8,1.312e+04,1.663e+04,8.617e+03,3.836e+04
187.3,1.196e+04,1.609e+04,8.775e+03,3.683e+04
188.8,1.109e+04,1.555e+04,9.086e+03,3.573e+04
190.3,1.081e+04,1.544e+04,9.423e+03,3.567e+04
191.8,1.107e+04,1.537e+04,9.480e+03,3.592e+04
193.4,1.129e+04,1.562e+04,9.396e+03,3.631e+04
194.9,1.186e+04,1.675e+04,9.512e+03,3.812e+04
196.4,1.327e+04,1.952e+04,1.062e+04,4.341e+04
197.9,1.282e+04,1.888e+04,1.032e+04,4.202e+04
199.5,1.277e+04,1.856e+04,1.086e+04,4.218e+04
