freq,psd_x,psd_y,psd_z,psd_xyz
166.2,1.298e+04,5.733e+03,1.787e+03,2.050e+04
167.7,1.374e+04,6.767e+03,1.995e+03,2.251e+04
169.3,1.432e+04,7.421e+03,2.199e+03,2.394e+04
170.8,1.380e+04,7.609e+03,2.207e+03,2.362e+04
172.3,1.357e+04,7.898e+03,2.037e+03,2.350e+04
173.8,1.259e+04,8.817e+03,2.213e+03,2.362e+04
175.3,1.204e+04,9.688e+03,2.576e+03,2.430e+04
176.8,1.228e+04,1.022e+04,3.006e+03,2.551e+04
178.3,1.204e+04,1.058e+04,3.205e+03,2.583e+04
179.8,1.377e+04,1.237e+04,4.272e+03,3.041e+04
181.3,1.499e+04,1.474e+04,5.676e+03,3.540e+04
182.9,1.128e+04,1.588e+04,5.949e+03,3.311e+04
184.4,1.386e+04,1.867e+04,7.443e+03,3.998e+04
185.9,1.435e+04,2.083e+04,8.582e+03,4.376e+04
187.4,1.308e+04,2.212e+04,9.366e+03,4.456e+04
188.9,1.179e+04,2.371e+04,9.948e+03,4.545e+04
190.4,1.063e+04,2.519e+04,1.051e+04,4.634e+04
191.9,9.972e+03,2.582e+04,1.053e+04,4.632e+04
193.4,9.823e+03,2.681e+04,1.054e+04,4.718e+04
194.9,8.929e+03,2.834e+04,1.080e+04,4.807e+04
196.5,8.648e+03,2.970e+04,1.116e+04,4.950e+04
198.0,8.764e+03,3.025e+04,1.150e+04,5.050e+04
199.5,9.081e+03,3.253e+04,1.233e+04,5.395e+04
