freq,psd_x,psd_y,psd_z,psd_xyz
172.1,3.180e+03,1.962e+02,9.338e+01,3.469e+03
173.5,2.583e+03,2.442e+02,1.005e+02,2.927e+03
175.0,2.243e+03,3.201e+02,1.190e+02,2.682e+03
176.5,2.077e+03,3.814e+02,1.305e+02,2.589e+03
178.0,1.955e+03,4.379e+02,1.368e+02,2.529e+03
179.5,2.227e+03,4.583e+02,1.398e+02,2.825e+03
181.0,2.715e+03,4.813e+02,1.356e+02,3.332e+03
182.4,2.880e+03,4.631e+02,1.409e+02,3.484e+03
183.9,2.817e+03,4.620e+02,1.600e+02,3.439e+03
185.4,2.736e+03,4.387e+02,1.710e+02,3.345e+03
186.9,2.624e+03,4.693e+02,1.811e+02,3.275e+03
188.4,2.899e+03,4.525e+02,1.822e+02,3.534e+03
189.9,3.428e+03,4.149e+02,1.999e+02,4.043e+03
191.3,4.372e+03,5.147e+02,2.336e+02,5.120e+03
192.8,5.463e+03,5.603e+02,2.514e+02,6.275e+03
194.3,6.604e+03,6.017e+02,2.566e+02,7.462e+03
195.8,7.716e+03,7.069e+02,2.709e+02,8.694e+03
197.3,7.970e+03,7.740e+02,2.793e+02,9.023e+03
198.8,7.943e+03,7.557e+02,2.746e+02,8.973e+03
